"","p_type","op","prop","n","textpos","val"
"1","PM2.5","Worsen air pollution",23.36,75,85,"op"
"2","PM2.5","Non-influence",25.55,82,65,"op"
"3","PM2.5","Mitigate air pollution",51.09,164,20,"op"
"4","SO2","Worsen air pollution",22.74,73,85,"op"
"5","SO2","Non-influence",30.53,98,65,"op"
"6","SO2","Mitigate air pollution",46.73,150,20,"op"
"7","O3","Worsen air pollution",22.12,71,85,"op"
"8","O3","Non-influence",34.89,112,65,"op"
"9","O3","Mitigate air pollution",42.99,138,20,"op"
"10","NOx","Worsen air pollution",20.87,67,85,"op"
"11","NOx","Non-influence",37.07,119,65,"op"
"12","NOx","Mitigate air pollution",42.06,135,20,"op"
